2026-05-22 16:35:12 INFO  com.orangehrm.base.BaseTest - WebDriver instance terminated
2026-05-22 16:35:12 INFO  com.orangehrm.base.BaseTest - ActionDriver instance terminated
2026-05-22 16:36:40 ERROR com.orangehrm.actiondriver.ActionDriver - unable to located element :By.xpath: //div[@class="oxd-topbar-header-title"]/spanExpected condition failed: waiting for visibility of element found by By.xpath: //div[@class="oxd-topbar-header-title"]/span, but... org.openqa.selenium.NoSuchElementException: no such element: Unable to locate element: {"method":"xpath","selector":"//div[@class="oxd-topbar-header-title"]/span"}.
(tried for 60 seconds with 500 milliseconds interval)
Build info: version: '4.41.0', revision: '9fc754f'
System info: os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.4'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 148.0.7778.178, chrome: {chromedriverVersion: 148.0.7778.178 (d096af1c9e9..., userDataDir: C:\Users\hp\AppData\Local\T...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:64916}, goog:processID: 4236, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: windows, proxy: Proxy(), se:cdp: ws://localhost:64916/devtoo..., se:cdpVersion: 148.0.7778.178, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Session ID: 4d55303657ac9900730ec8b1d0c9a69e
2026-05-22 16:36:40 ERROR com.orangehrm.actiondriver.ActionDriver - unable to click on : By.xpath: //ul[@class="oxd-main-menu"]/li[2]Expected condition failed: waiting for element found by By.xpath: //ul[@class="oxd-main-menu"]/li[2] to be clickable, but the element was not found: org.openqa.selenium.NoSuchElementException: no such element: Unable to locate element: {"method":"xpath","selector":"//ul[@class="oxd-main-menu"]/li[2]"}.
(tried for 60 seconds with 500 milliseconds interval)
Build info: version: '4.41.0', revision: '9fc754f'
System info: os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.4'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 148.0.7778.178, chrome: {chromedriverVersion: 148.0.7778.178 (d096af1c9e9..., userDataDir: C:\Users\hp\AppData\Local\T...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:64905}, goog:processID: 13108, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: windows, proxy: Proxy(), se:cdp: ws://localhost:64905/devtoo..., se:cdpVersion: 148.0.7778.178, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Session ID: a2667985217d9d8483158611f5a1ca00
2026-05-22 16:36:40 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:36:40 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:36:40 INFO  com.orangehrm.factory.DriverFactory - WebDriver terminated
2026-05-22 16:36:40 INFO  com.orangehrm.base.BaseTest - WebDriver instance terminated
2026-05-22 16:36:40 INFO  com.orangehrm.base.BaseTest - ActionDriver instance terminated
2026-05-22 16:36:40 INFO  com.orangehrm.factory.DriverFactory - config file access successfull
2026-05-22 16:36:40 INFO  com.orangehrm.factory.DriverFactory - Test execution runiing on chrome
2026-05-22 16:36:40 INFO  com.orangehrm.factory.DriverFactory - Test execution runiing on chrome
2026-05-22 16:36:40 INFO  com.orangehrm.factory.DriverFactory - config file access successfull
2026-05-22 16:36:40 INFO  com.orangehrm.factory.DriverFactory - WebDriver terminated
2026-05-22 16:36:40 INFO  com.orangehrm.base.BaseTest - WebDriver instance terminated
2026-05-22 16:36:40 INFO  com.orangehrm.base.BaseTest - ActionDriver instance terminated
2026-05-22 16:36:40 INFO  com.orangehrm.factory.DriverFactory - config file access successfull
2026-05-22 16:36:40 INFO  com.orangehrm.factory.DriverFactory - Test execution runiing on chrome
2026-05-22 16:36:40 INFO  com.orangehrm.factory.DriverFactory - Test execution runiing on chrome
2026-05-22 16:36:40 INFO  com.orangehrm.factory.DriverFactory - config file access successfull
2026-05-22 16:36:42 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:36:42 INFO  com.orangehrm.base.BaseTest - Selected URL is: http://localhost/OrangeHRM/orangehrm-5.8/web/index.php/auth/login
2026-05-22 16:36:42 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:36:42 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
2026-05-22 16:36:42 INFO  com.orangehrm.base.BaseTest - Selected URL is: http://localhost/OrangeHRM/orangehrm-5.8/web/index.php/auth/login
2026-05-22 16:36:42 INFO  com.orangehrm.factory.DriverFactory - WebDriver is initialized
